season,event,champion,games_contests,pick_ban_ratio,banned_games,played_games,played_by_number_of_players,win,lose,win_rate,kills,deaths,assists,kill_death_assist_ratio,creep_score,cs/min,gold,gold/min,damage,damage/min,kill_participation,kill_share,gold_share
5,Main,Vi,1,1.4,,1,1.0,0,1,0.0,0.0,6.0,1.0,0.17,128.0,2.94,10.6,244.0,0.0,,10.0,0.0,16.0
6,Main,Brand,9,11.7,8.0,1,1.0,1,0,100.0,3.0,1.0,4.0,7.0,32.0,0.79,12.7,314.0,0.0,,70.0,30.0,16.8
6,Main,Twisted Fate,6,7.8,5.0,1,1.0,0,1,0.0,0.0,6.0,5.0,0.83,374.0,7.97,17.9,382.0,0.0,,71.4,0.0,21.7
6,Main,Zilean,4,5.2,,4,4.0,1,3,25.0,2.75,3.75,4.75,2.0,356.0,8.68,15.5,377.0,0.0,,57.7,21.2,22.1
6,Main,Soraka,3,3.9,1.0,2,2.0,1,1,50.0,0.5,3.0,10.5,3.67,23.0,0.54,10.9,257.0,0.0,,88.0,4.0,14.6
6,Main,Maokai,2,2.6,,2,2.0,1,1,50.0,2.5,2.5,11.5,5.6,281.0,7.28,13.7,353.0,0.0,,77.8,13.9,19.3
6,Main,Anivia,2,2.6,1.0,1,1.0,1,0,100.0,2.0,2.0,5.0,3.5,302.0,7.48,15.6,386.0,0.0,,70.0,20.0,20.6
6,Main,Shen,2,2.6,1.0,1,1.0,0,1,0.0,3.0,4.0,6.0,2.25,174.0,6.3,8.9,322.0,0.0,,75.0,25.0,22.0
6,Main,Nocturne,1,1.3,,1,1.0,1,0,100.0,3.0,2.0,11.0,7.0,166.0,3.8,16.4,376.0,0.0,,73.7,15.8,19.4
6,Main,Taric,1,1.3,,1,1.0,1,0,100.0,0.0,7.0,9.0,1.29,134.0,2.02,19.5,294.0,0.0,,56.3,0.0,16.3
6,Main,Fiora,1,1.3,,1,1.0,0,1,0.0,5.0,7.0,5.0,1.43,263.0,7.56,13.4,385.0,0.0,,66.7,33.3,22.7
6,Main,Kha'Zix,1,1.3,,1,1.0,0,1,0.0,4.0,4.0,3.0,1.75,164.0,3.61,14.5,319.0,0.0,,70.0,40.0,20.1
6,Main,Kindred,1,1.3,,1,1.0,0,1,0.0,2.0,5.0,0.0,0.4,123.0,3.91,9.6,305.0,0.0,,66.7,66.7,20.3
6,Main,Kled,1,1.3,,1,1.0,0,1,0.0,1.0,6.0,6.0,1.17,244.0,7.18,11.0,324.0,0.0,,50.0,7.1,20.1
6,Main,Nautilus,1,1.3,,1,1.0,0,1,0.0,1.0,4.0,7.0,2.0,315.0,6.93,14.6,321.0,0.0,,80.0,10.0,20.2
7,Play in,Thresh,15,38.5,13.0,2,2.0,1,1,50.0,0.5,1.5,6.5,4.67,48.0,1.25,9.9,258.0,0.0,,73.7,5.3,14.6
7,Play in,Elise,11,28.2,8.0,3,3.0,0,3,0.0,0.67,3.67,1.0,0.45,94.33,3.57,7.3,278.0,0.0,,100.0,40.0,18.4
7,Play in,Lucian,9,23.1,7.0,2,2.0,0,2,0.0,0.5,2.0,1.5,1.0,233.5,8.24,9.3,328.0,0.0,,100.0,25.0,21.7
7,Play in,Kassadin,8,20.5,6.0,2,2.0,1,1,50.0,0.0,1.5,2.0,1.33,264.5,7.99,11.4,346.0,0.0,,36.4,0.0,19.8
7,Play in,Lee Sin,6,15.4,1.0,5,3.0,1,4,20.0,1.8,2.0,5.6,3.7,148.2,4.31,10.9,317.0,0.0,,64.9,15.8,18.0
7,Play in,Jax,6,15.4,3.0,3,3.0,1,2,33.3,1.0,3.67,2.67,1.0,234.67,7.49,11.1,353.0,0.0,,57.9,15.8,21.0
7,Play in,Olaf,6,15.4,4.0,2,1.0,1,1,50.0,2.0,3.0,5.0,2.33,163.5,4.55,12.0,334.0,0.0,,56.0,16.0,18.5
7,Play in,Blitzcrank,4,10.3,3.0,1,1.0,0,1,0.0,2.0,3.0,12.0,4.67,63.0,1.34,12.4,264.0,0.0,,100.0,14.3,15.7
7,Play in,Kayn,4,10.3,3.0,1,1.0,0,1,0.0,3.0,4.0,3.0,1.5,146.0,4.97,10.2,348.0,0.0,,75.0,37.5,20.9
7,Play in,Anivia,3,7.7,2.0,1,1.0,0,1,0.0,1.0,5.0,2.0,0.6,229.0,7.8,10.4,354.0,0.0,,37.5,12.5,21.4
7,Play in,Ashe,2,5.1,,2,1.0,1,1,50.0,1.0,2.5,11.0,4.8,220.0,8.6,10.6,412.0,0.0,,75.0,6.3,20.9
7,Play in,Sivir,2,5.1,,2,2.0,1,1,50.0,4.0,2.0,7.0,5.5,423.5,10.38,17.8,435.0,0.0,,78.6,28.6,23.9
7,Play in,Fiora,2,5.1,,2,2.0,0,2,0.0,3.0,3.0,2.0,1.67,284.5,9.05,12.1,385.0,0.0,,76.9,46.2,22.9
7,Play in,Vladimir,2,5.1,,2,2.0,0,2,0.0,2.5,5.0,1.5,0.8,266.5,8.69,10.8,350.0,0.0,,34.8,21.7,20.8
7,Play in,Caitlyn,2,5.1,1.0,1,1.0,0,1,0.0,1.0,1.0,1.0,2.0,240.0,8.62,9.4,338.0,0.0,,66.7,33.3,22.3
7,Play in,Renekton,2,5.1,1.0,1,1.0,0,1,0.0,1.0,4.0,1.0,0.5,378.0,9.75,14.8,382.0,0.0,,33.3,16.7,22.7
7,Play in,Zac,2,5.1,1.0,1,1.0,0,1,0.0,0.0,3.0,2.0,0.67,125.0,4.53,7.5,272.0,0.0,,100.0,0.0,18.4
7,Play in,Ekko,1,2.6,,1,1.0,1,0,100.0,2.0,2.0,10.0,6.0,460.0,9.8,20.4,435.0,0.0,,75.0,12.5,22.8
7,Play in,Graves,1,2.6,,1,1.0,1,0,100.0,11.0,1.0,9.0,20.0,124.0,5.29,11.7,499.0,0.0,,52.6,28.9,21.8
7,Play in,Vayne,1,2.6,,1,1.0,1,0,100.0,5.0,4.0,14.0,4.75,150.0,6.4,10.4,443.0,0.0,,50.0,13.2,19.4
7,Play in,Draven,1,2.6,,1,1.0,0,1,0.0,2.0,3.0,2.0,1.33,529.0,10.11,22.4,428.0,0.0,,44.4,22.2,25.2
7,Play in,Jhin,1,2.6,,1,1.0,0,1,0.0,0.0,2.0,0.0,0.0,321.0,9.09,12.0,340.0,0.0,,0.0,0.0,22.2
7,Play in,Kha'Zix,1,2.6,,1,1.0,0,1,0.0,3.0,3.0,1.0,1.33,146.0,3.64,12.2,304.0,0.0,,100.0,75.0,18.7
7,Play in,Malzahar,1,2.6,,1,1.0,0,1,0.0,1.0,4.0,2.0,0.75,27.0,0.92,8.0,273.0,0.0,,37.5,12.5,16.4
7,Play in,Nunu,1,2.6,,1,1.0,0,1,0.0,1.0,8.0,5.0,0.75,48.0,2.05,6.9,294.0,0.0,,66.7,11.1,19.0
