season,event,champion,games_contests,pick_ban_ratio,banned_games,played_games,played_by_number_of_players,win,lose,win_rate,kills,deaths,assists,kill_death_assist_ratio,creep_score,cs/min,gold,gold/min,damage,damage/min,kill_participation,kill_share,gold_share,kda_enhanced,efficiency_score,role,popularity_tier,impact_score
4,Main,Katarina,1,1.3,,1,1.0,1,0,100.0,12.0,2.0,16.0,14.0,195.0,6.65,14.7,501.0,0.0,,71.8,30.8,21.9,14.0,114.0,other,Bajo,1.4820000000000002
4,Main,Lissandra,1,1.3,,1,1.0,1,0,100.0,4.0,2.0,11.0,7.5,363.0,9.66,16.6,442.0,0.0,,57.7,15.4,22.4,7.5,107.5,other,Bajo,1.3975
4,Main,Riven,1,1.3,,1,1.0,1,0,100.0,0.0,2.0,4.0,2.0,345.0,7.62,16.3,360.0,0.0,,36.4,0.0,21.3,2.0,102.0,other,Bajo,1.3259999999999998
4,Main,Swain,1,1.3,,1,1.0,1,0,100.0,1.0,8.0,9.0,1.25,211.0,4.17,13.6,269.0,0.0,,47.6,4.8,16.1,1.25,101.25,other,Bajo,1.31625
4,Main,Galio,1,1.3,,1,1.0,0,1,0.0,0.0,7.0,3.0,0.43,165.0,5.07,7.9,243.0,0.0,,27.3,0.0,17.0,0.42857142857142855,0.42857142857142855,other,Bajo,0.005571428571428572
4,Main,Nunu,1,1.3,,1,1.0,0,1,0.0,0.0,5.0,2.0,0.4,93.0,2.8,7.4,223.0,0.0,,100.0,0.0,16.7,0.4,0.4,other,Bajo,0.0052
4,Main,Varus,1,1.3,,1,1.0,0,1,0.0,3.0,3.0,0.0,1.0,221.0,7.67,9.1,316.0,0.0,,100.0,100.0,26.9,1.0,1.0,other,Bajo,0.013000000000000001
4,Main,Vi,1,1.3,,1,1.0,0,1,0.0,0.0,7.0,1.0,0.14,112.0,3.23,7.5,216.0,0.0,,50.0,0.0,16.9,0.14285714285714285,0.14285714285714285,other,Bajo,0.0018571428571428571
5,Main,Varus,6,8.2,4.0,2,2.0,1,1,50.0,2.0,5.0,6.0,1.6,281.0,8.14,12.4,361.0,0.0,,84.2,21.1,22.0,1.6,51.6,other,Bajo,4.231199999999999
5,Main,Evelynn,4,5.5,,4,3.0,1,3,25.0,1.25,4.0,5.0,1.56,103.0,2.69,10.0,261.0,0.0,,62.5,12.5,17.1,1.5625,26.5625,other,Bajo,1.4609375
5,Main,Ahri,3,4.1,,3,3.0,1,2,33.3,3.0,1.0,8.0,11.0,357.0,9.08,15.3,389.0,0.0,,86.8,23.7,23.7,11.0,44.3,other,Bajo,1.8162999999999996
5,Main,Skarner,3,4.1,,3,3.0,1,2,33.3,0.67,1.67,4.67,3.2,96.67,3.02,8.9,279.0,0.0,,69.6,8.7,17.2,3.197604790419162,36.49760479041916,other,Bajo,1.4964017964071854
5,Main,Maokai,3,4.1,,3,2.0,0,3,0.0,0.67,3.33,2.33,0.9,157.33,5.22,7.7,257.0,0.0,,69.2,15.4,18.5,0.9009009009009009,0.9009009009009009,other,Bajo,0.036936936936936934
5,Main,Bard,2,2.7,,2,2.0,0,2,0.0,1.5,5.0,7.0,1.7,30.5,0.86,8.0,224.0,0.0,,60.7,10.7,14.4,1.7,1.7,other,Bajo,0.045899999999999996
5,Main,Irelia,2,2.7,,2,2.0,0,2,0.0,2.5,4.5,1.5,0.89,228.0,6.65,10.3,299.0,0.0,,61.5,38.5,22.1,0.8888888888888888,0.8888888888888888,other,Bajo,0.024
5,Main,Rengar,2,2.7,,2,2.0,0,2,0.0,2.0,3.0,4.0,2.0,95.5,3.15,8.7,285.0,0.0,,70.6,23.5,18.9,2.0,2.0,other,Bajo,0.054000000000000006
5,Main,Zed,2,2.7,,2,2.0,0,2,0.0,3.5,3.0,3.5,2.33,250.0,7.17,12.2,348.0,0.0,,58.3,29.2,22.9,2.3333333333333335,2.3333333333333335,other,Bajo,0.063
5,Main,Draven,1,1.4,,1,1.0,1,0,100.0,5.0,1.0,7.0,12.0,241.0,7.17,14.6,435.0,0.0,,57.1,23.8,23.0,12.0,112.0,other,Bajo,1.5679999999999998
5,Main,Graves,1,1.4,,1,1.0,1,0,100.0,9.0,2.0,6.0,7.5,356.0,8.97,17.3,436.0,0.0,,68.2,40.9,23.8,7.5,107.5,other,Bajo,1.505
5,Main,Karthus,1,1.4,,1,1.0,1,0,100.0,4.0,3.0,10.0,4.67,274.0,9.17,12.8,428.0,0.0,,73.7,21.1,23.0,4.666666666666667,104.66666666666667,other,Bajo,1.4653333333333334
5,Main,Leona,1,1.4,,1,1.0,1,0,100.0,0.0,3.0,7.0,2.33,60.0,2.42,7.0,283.0,0.0,,43.8,0.0,14.6,2.3333333333333335,102.33333333333333,other,Bajo,1.4326666666666665
5,Main,Lucian,1,1.4,,1,1.0,1,0,100.0,7.0,4.0,11.0,4.5,295.0,8.03,15.3,417.0,0.0,,81.8,31.8,22.3,4.5,104.5,other,Bajo,1.4629999999999999
