season,event,team,player,games_played,wins,loses,win_rate,kills,deaths,assists,kill_death_assist_ratio,creep_score,cs/min,gold,gold/min,damage,damage/min,kill_participation,kill_share,gold_share,kda,player_efficiency,economic_impact,performance_tier
2,Main,NaJin_Black_Sword,SSONG,5,3,2,60.0,4.6,2.6,6.6,4.31,226.8,7.37,10.6,346,0.0,,0.8115942028985508,,,4.3076923076923075,12.923076923076923,10.6,Élite
2,Main,NaJin_Black_Sword,Watch,5,3,2,60.0,1.6,1.6,10.0,7.25,96.8,3.15,8.2,267,0.0,,0.8787878787878788,,,7.249999999999999,21.749999999999996,8.2,Élite
2,Main,Saigon_Jokers,Archie,3,1,2,33.3,3.67,2.67,5.0,3.25,197.0,7.33,9.1,337,0.0,,0.7645502645502645,,,3.247191011235955,3.247191011235955,9.1,Élite
2,Main,Saigon_Jokers,Junie,3,1,2,33.3,1.0,1.33,5.33,4.75,27.0,1.0,6.1,228,0.0,,0.8263707571801566,,,4.7593984962406015,4.7593984962406015,6.1,Élite
2,Main,Saigon_Jokers,NIXWATER,3,1,2,33.3,2.67,2.0,4.0,3.33,210.0,7.81,8.8,327,0.0,,0.7693194925028835,,,3.335,3.335,8.8,Élite
2,Main,Saigon_Jokers,QTV,3,1,2,33.3,1.67,3.33,5.33,2.1,145.67,5.42,7.5,278,0.0,,0.6776379477250726,,,2.1021021021021022,2.1021021021021022,7.5,Alto
2,Main,Saigon_Jokers,Violet,3,1,2,33.3,1.67,2.33,5.33,3.0,105.33,3.92,7.1,263,0.0,,0.7502679528403001,,,3.004291845493562,3.004291845493562,7.1,Élite
2,Main,SK_Gaming,Araneae,3,0,3,0.0,0.0,2.33,1.67,0.71,102.33,3.22,6.5,203,0.0,,0.4175,,,0.7167381974248926,0.0,6.5,
2,Main,SK_Gaming,Kev1n,3,0,3,0.0,1.0,2.0,1.33,1.17,219.33,6.9,8.7,273,0.0,,0.5381062355658198,,,1.165,0.0,8.7,
2,Main,SK_Gaming,Nyph,3,0,3,0.0,1.0,2.33,3.0,1.71,20.0,0.63,6.6,207,0.0,,0.631911532385466,,,1.7167381974248928,0.0,6.6,
